종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
139280,2,TIGER 경기방어,12195,5,-75,-0.61,12191.0,-3.5378,5886,71,1002,국내 업종/테마,TIGER,False,False,False
329200,2,TIGER 부동산인프라고배당,5890,5,-5,-0.08,5910.0,0.5972,83357,491,990,국내 업종/테마,TIGER,False,False,False
325020,2,KODEX 배당가치,13465,2,65,0.49,13479.0,-3.3887,7035,94,983,국내 업종/테마,KODEX,False,False,False
225040,4,TIGER 미국S&P500레버리지(합성 H),33970,5,-445,-1.29,,12.7251,38917,1319,951,해외 주식,TIGER,False,True,True
261240,7,KODEX 미국달러선물,10410,2,65,0.63,10410.0,4.6006,229968,2390,946,기타,KODEX,False,False,False
117700,2,KODEX 건설,3750,5,-35,-0.92,3752.0,-1.175,269696,1004,938,국내 업종/테마,KODEX,False,False,False
122260,6,KOSEF 통안채1년,101210,5,-10,-0.01,101217.0,-0.0346,115025,11644,931,채권,KOSEF,False,False,False
371470,4,TIGER 차이나바이오테크SOLACTIVE,11470,5,-95,-0.82,,-12.6841,40360,465,922,해외 주식,TIGER,False,False,False
387280,2,TIGER 퓨처모빌리티액티브,11370,2,125,1.11,11395.0,10.2991,52108,591,915,국내 업종/테마,TIGER,False,False,False
364970,2,TIGER KRX바이오K-뉴딜,10305,5,-195,-1.86,10300.0,1.156,606729,6248,907,국내 업종/테마,TIGER,False,False,False
395750,2,ARIRANG ESG가치주액티브,9710,5,-5,-0.05,9725.0,,240,2,888,국내 업종/테마,ARIRANG,False,False,False
387270,4,TIGER 글로벌BBIG액티브,12150,2,25,0.21,,18.4082,186212,2258,886,해외 주식,TIGER,False,False,False
329650,7,KODEX TRF3070,11505,2,5,0.04,11462.0,3.1852,63076,725,874,기타,KODEX,False,False,False
304940,4,KODEX 미국나스닥100선물(H),19645,5,-150,-0.76,,12.8885,37753,740,874,해외 주식,KODEX,False,False,True
385520,2,KODEX K-미래차액티브,10715,2,70,0.66,10754.0,0.3771,169203,1807,836,국내 업종/테마,KODEX,False,False,False
174360,4,KBSTAR 중국본토대형주CSI100,21255,5,-25,-0.12,,-5.7365,2876,61,829,해외 주식,KBSTAR,False,False,False
306520,3,HANARO 200선물인버스,9015,5,-40,-0.44,9032.0,4.3804,7771,70,825,국내 파생,HANARO,True,False,False
